"PPN","title","subtitle","name 1 display","name 1 family","name 1 given","name 1 role","publication place","publication date","publisher","language","name 2 given","name 2 part","name 2 family","name 2 role","name 3 display","name 3 role","number of pages","classification of the Zentrales Verzeichnis Digitalisierter Drucker","DDC classification","MARC genre terms","PPN of physical work","licence","access condition","PURL","file","groundtruth","classification"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000005_0.jpg","-0","Abbildung"
"PPN1877493295","Bilderbuch",,,,,"fnd","[Deutschland?]","1890","[Verlag nicht ermittelbar]","ger",,,,,,,"17","Kinder- und Jugendbücher",,"Bilderbuch","PPN777079097","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035ADC00000000","data/PPN1877493295/00000010_1.jpg","Ornament","Ornament"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000031_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000027_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000021_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000029_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000007_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000017_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000035_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000009_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000011_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000015_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000039_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000013_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000037_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000005_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000033_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000019_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000025_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000023_0.jpg","-0","Abbildung"
"PPN1760380237","Album der kleinen Freunde",,,,,"fnd","Mainz","1840","Scholz","fre, ger, dut",,,,,,,"45","Kinder- und Jugendbücher",,,"PPN541583808","Public Domain Mark 1.0","open access","http://resolver.staatsbibliothek-berlin.de/SBB0003078C00000000","data/PPN1760380237/00000045_0.jpg","-0","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000001_0.jpg","Abbildung","Farbtafel"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000031_0.jpg","Vignette","Vignette"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000027_0.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000021_0.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000017_0.jpg","Abbildung","Karte"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000009_0.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000013_1.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000011_0.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000015_0.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000007_1.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000013_0.jpg","Ornament","Ornament"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000031_2.jpg","Initiale","Initiale"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000005_0.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000031_1.jpg","Initiale","Initiale"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000019_0.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000025_0.jpg","Abbildung","Abbildung"
"PPN1880503603","Peter's Schicksale oder Lebenslauf eines Pferdes",,,"Reichardt","Julius M.","aut","Halle/S.","1896","von J. M. Reichardt","ger",,,,"fnd",,,"58","Kinder- und Jugendbücher",,"Bilderbuch","PPN470754141","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB00035DEF00000000","data/PPN1880503603/00000023_0.jpg","Abbildung","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000001_0.jpg","-0","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000164_0.jpg","Abbildung","Druckermarke"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000089_0.jpg","-0","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000164_3.jpg","Abbildung","Exlibris"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000164_4.jpg","Abbildung","Druckermarke"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000168_0.jpg","Ornament","Ornament"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000163_4.jpg","-0","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000007_0.jpg","Druckermarke","Druckermarke"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000164_2.jpg","Abbildung","Druckermarke"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000163_1.jpg","-0","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000163_5.jpg","-0","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000163_0.jpg","-0","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000039_0.jpg","-0","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000006_0.jpg","-0","Abbildung"
"PPN1870488814","Von der Feme gerichtet","Erzählung für die reifere Jugend","Höcker, Georg","Höcker","Georg","aut","Berlin","1897","Druck und Verlag von A. Weichert","ger","Eugen",,"Hilpert","ill","Deutsche Forschungsgemeinschaft","fnd","169","Kinder- und Jugendbücher",,"Jugendbuch","PPN07655211X","Public Domain Mark 1.0","open access","https://resolver.staatsbibliothek-berlin.de/SBB0003578E00000000","data/PPN1870488814/00000164_1.jpg","Abbildung","Druckermarke"
